"condition","age_band","sex","prevalence","ci_lower","ci_upper"
"chd","45-49","Female",0.00198309726576277,-0.000862822863107239,0.00482901739463278
"chd","50-54","Female",0.0161420616566987,0.000394601200369802,0.0318895221130275
"chd","55-59","Female",0.0311187831656812,0.0171160294704261,0.0451215368609363
"chd","60-64","Female",0.0318326216329473,0.0111667499417666,0.0524984933241279
"chd","65-69","Female",0.0655039483426211,0.0393467919289177,0.0916611047563246
"chd","70-74","Female",0.0605875694219724,0.0345764551361081,0.0865986837078367
"chd","75-79","Female",0.0921079198393534,0.059628094594604,0.124587745084103
"chd","80+","Female",0.11999084282354,0.0881635298759177,0.151818155771163
"chd","18-24","Male",0.0014614011498546,-0.0014017325355884,0.0043245348352976
"chd","25-29","Male",0,0,0
"chd","30-34","Male",0.000896876122703244,-0.000865420023627011,0.0026591722690335
"chd","35-39","Male",0.00508004582936658,-0.00208987980775201,0.0122499714664852
"chd","40-44","Male",0.0104529808850079,0.00136233849069505,0.0195436232793208
"chd","45-49","Male",0.00860336390769764,0.00298681234201514,0.0142199154733801
"chd","50-54","Male",0.0288378641844606,0.0115014723466136,0.0461742560223076
"chd","55-59","Male",0.0560837979227404,0.0347609535802489,0.077406642265232
"chd","60-64","Male",0.102494508894452,0.0666445162366816,0.138344501552222
"chd","65-69","Male",0.122675319511519,0.0854479602733957,0.159902678749641
"chd","70-74","Male",0.193891539891789,0.152246053454794,0.235537026328784
"chd","75-79","Male",0.183773385379563,0.1333530867064,0.234193684052725
"chd","80+","Male",0.239937457116438,0.197401891882146,0.282473022350729
"chd","18-24","Both",0.000739613162417727,-0.000711048035094782,0.00219027435993024
"chd","25-29","Both",0,0,0
"chd","30-34","Both",0.000455021026070785,-0.00043636116319287,0.00134640321533444
"chd","35-39","Both",0.00461555881057593,0.000490857384457317,0.00874026023669453
"chd","40-44","Both",0.00627793682635075,0.00153879511901851,0.011017078533683
"chd","45-49","Both",0.00523901557082769,0.00208360813258383,0.00839442300907155
"chd","50-54","Both",0.0220392582401116,0.0106046177350361,0.0334738987451872
"chd","55-59","Both",0.0437292317341964,0.0304998150001615,0.0569586484682314
"chd","60-64","Both",0.0658783432979413,0.0440845594596557,0.0876721271362269
"chd","65-69","Both",0.0921167519298123,0.0729447144388584,0.111288789420766
"chd","70-74","Both",0.123175003687923,0.098105638822861,0.148244368552985
"chd","75-79","Both",0.131122068730488,0.0991269076314361,0.16311722982954
"chd","80+","Both",0.167924576056192,0.142918170894209,0.192930981218176
"angina","18-24","Female",0.00224182451650418,-0.00147557770843797,0.00595922674144633
"angina","25-29","Female",0.00431042188227232,-0.00348479754543932,0.012105641309984
"angina","30-34","Female",0.00584508892949219,-0.00169279705416068,0.013382974913145
"angina","35-39","Female",0.00490296578875837,2.32068238819605e-05,0.00978272475363478
"angina","40-44","Female",0.00249112572064013,-0.000391077740809829,0.0053733291820901
"angina","45-49","Female",0.00496877910539515,0.00202036736431441,0.0079171908464759
"angina","50-54","Female",0.0245774900220228,0.00853645605699985,0.0406185239870458
"angina","55-59","Female",0.0225394420706031,0.00969537221882656,0.0353835119223796
"angina","60-64","Female",0.0189869328072516,0.00649586034662319,0.0314780052678801
"angina","65-69","Female",0.0323368217245723,0.0105168889243353,0.0541567545248094
"angina","70-74","Female",0.0361780064553827,0.0180865921343985,0.0542694207763668
"angina","75-79","Female",0.0316534288455358,0.0109260262757338,0.0523808314153377
"angina","80+","Female",0.0749449666168157,0.0500600480321737,0.0998298852014577
"angina","18-24","Male",0.00129656260710952,-0.00123318291101031,0.00382630812522935
"angina","25-29","Male",0.000399893300293787,-0.000388315025040219,0.00118810162562779
"angina","30-34","Male",0.0026955337728283,-0.00041746705615771,0.00580853460181432
"angina","35-39","Male",0.00575990283298538,-0.00151615713960205,0.0130359628055728
"angina","40-44","Male",0.00277130181361754,-0.00138874932722159,0.00693135295445667
"angina","45-49","Male",0.0121374141293698,-0.0016433173662744,0.025918145625014
"angina","50-54","Male",0.0154448027839374,0.00540118231986365,0.0254884232480111
"angina","55-59","Male",0.0454591633746134,0.0228090104777419,0.068109316271485
"angina","60-64","Male",0.0658103534729412,0.0450396949028088,0.0865810120430736
"angina","65-69","Male",0.050624862717249,0.0251188186506304,0.0761309067838676
"angina","70-74","Male",0.0410086896936752,0.0246420562973694,0.0573753230899809
"angina","75-79","Male",0.0918029048041263,0.0349475268710901,0.148658282737162
